Country;maxlatitude;minlatitude;maxlongitude;minlongitude
AL;42.65;39.65;21.06;19.26
BA;45.29;42.54;19.66;15.71
DZ;37.09;18.96;12;-8.67
AM;41.3;38.84;46.63;43.46
AW;12.625;12.41;-69.865;-70.065
AU;-9.23;-54.76;159.11;112.91
AT;49.02;46.38;17.16;9.54
AZ;41.91;38.4;50.61;44.77
BE;51.5;49.5;6.41;2.54
BG;44.21;41.24;28.61;22.37
HR;46.53;42.39;19.44;13.49
CZ;51.03;48.56;18.86;12.1
DK;57.74;54.56;15.16;8.07
FO;62.4;61.39;-6.25;-7.7
FI;70.09;59.8;31.58;19.47
FR;51.09;41.36;9.56;-5.14
GF;5.76;2.11;-51.6;-54.55
DE;55.05;47.27;15.03;5.87
GR;41.74;34.8;29.6;19.38
GL;83.64;59.61;-11.41;-73.1
HU;48.58;45.75;22.89;16.12
IS;66.57;63.39;-13.49;-24.53
IE;55.38;51.42;-5.99;-10.58
IT;47.09;35.49;18.52;6.62
JE;49.264;49.1625;-2.0124;-2.255
LV;58.08;55.67;28.24;20.97
LI;47.27;47.048;9.635;9.471
LT;56.44;53.9;26.87;20.95
LU;50.18;49.45;6.53;5.73
MO;22.217;22.109;113.599;113.528
MK;42.37;40.85;23.03;20.46
MG;-11.95;-25.61;50.48;43.18
MW;-9.37;-17.12;35.9;32.67
MY;7.36;0.86;119.27;99.64
MV;6.93;-0.7;73.58;73.08
ML;25;10.16;4.24;-12.24
MT;36.08;35.81;14.57;14.18
MH;14.62;4.57;172;165.53
MQ;14.885;14.385;-60.805;-61.23
MR;27.3;14.72;-4.82;-17.07
MU;-10.33;-20.53;63.5;56.57
YT;-12.637;-13.008;45.303;45.018
MX;32.72;14.54;-86.71;-118.37
FM;9.78;5.26;163.04;138.06
MD;48.49;45.46;30.16;26.62
MC;43.752;43.7247;7.44;7.409
MN;52.15;41.57;119.92;87.69
ME;43.555;41.842;20.354;18.448
MS;16.825;16.6738;-62.1445;-62.242
MA;35.92;27.66;-0.99;-13.18
MZ;-10.48;-26.87;40.85;30.22
MM;28.54;9.6;101.17;92.2
NA;-16.96;-28.96;25.26;11.73
NR;-0.5;-0.557;166.96;166.91
NP;30.43;26.36;88.2;80.06
NL;53.55;12.03;7.22;-70.06
NC;-19.1;-22.75;168.15;158.2
NZ;-29.24;-52.61;166;178.84
NI;15.03;10.71;-82.73;-87.69
NE;23.53;11.7;16;0.17
NG;13.89;4.28;14.68;2.66
NU;-18.95;-19.16;-169.78;-169.95
NF;-28.995;-29.074;167.9975;167.917
MP;15.298;14.841;145.831;145.531
NO;80.75;57.97;33.63;4.64
OM;26.39;16.65;59.84;52
PK;37.09;23.69;77.84;60.88
PW;7.73;6.88;134.65;134.13
PA;9.63;7.2;-77.17;-83.05
PG;-1.13;-11.66;159.49;140.87
PY;-19.34;-27.61;-54.26;-62.65
PE;-0.03;-18.38;-68.68;-81.33
PH;20.84;4.65;126.6;116.93
PN;-25.055;-25.081;-130.085;-130.125
PL;54.84;49.04;24.15;14.12
PT;42.14;30.14;-6.19;-31.27
PR;18.55;17.9;-65.2;-67.95
QA;26.16;24.47;51.63;50.75
RE;-20.86;-21.39;55.84;55.21
RO;48.27;43.6;29.69;20.25
RU;81.86;41.19;27.9;-170
RW;-1.05;-2.84;30.9;28.86
BL;17.962;17.87;-62.788;-62.913
KN;17.42;17.09;-62.54;-62.87
LC;14.11;13.7;-60.87;-61.08
MF;18.126;18.046;-62.969;-63.154
PM;47.15;46.745;-56.12;-56.41
VC;13.386;12.578;-61.113;-61.47
WS;-13.44;-14.07;-171.4;-172.83
SM;43.993;43.893;12.517;12.403
ST;1.7;-0.01;7.46;6.46
SA;32.15;15.66;55.67;34.5
SN;16.69;12.31;-11.35;-17.53
RS;46.2;41.84;23.02;18.82
SC;-4.28;-10.2;56.3;46.2
SL;9.99;6.94;-10.28;-13.3
SG;1.474;1.197;104.041;103.608
SX;18.065;18.004;-62.997;-63.139
SK;49.6;47.73;22.57;16.84
SI;46.88;45.42;16.61;13.38
SB;-5.42;-12.29;168.83;155.51
SO;11.99;-1.66;51.42;41
ZA;-22.13;-54.47;38;3.33
GS;-53.95;-54.9;-35.75;-38.25
SS;12.25;3.5;35.8;24.15
ES;43.79;27.64;4.33;-18.17
LK;9.83;5.91;81.88;79.65
SD;22.22;3.49;38.57;21.84
SR;6.02;1.84;-53.98;-58.08
SJ;80.9;70.8;27.2;-9.6
SZ;-25.72;-27.32;32.14;30.79
SE;69.06;55.34;24.16;10.98
CH;47.8;45.82;10.49;5.97
SY;37.32;32.31;42.37;35.61
TW;25.32;21.89;122.03;119.3
TJ;41.04;36.67;75.14;67.39
TZ;-0.99;-11.75;40.45;29.33
TH;20.47;5.61;105.64;97.35
TL;-8.3;-9.5;127.35;124.05
TG;11.15;6.1;1.8;-0.15
TK;-8.52;-9.445;-171.175;-172.52
TO;-15.56;-22.34;-173.7;-176.22
TT;11.35;10.04;-60.52;-61.93
TN;37.54;30.24;11.59;7.52
TR;42.1;35.82;44.82;25.66
TM;42.8;35.14;66.68;52.44
TC;21.97;21.27;-71.12;-72.49
TV;-5.67;-8.55;179.22;176.13
UG;4.22;-1.48;35.04;29.57
UA;52.38;44.38;40.22;22.16
AE;26.28;22.62;56.38;51.53
GB;60.84;49.9;1.77;-8.62
US;71.39;5.87;-66.9;-180
UY;-30.08;-34.98;-53.07;-58.44
UZ;45.61;37.18;73.13;56
VU;-13.07;-20.25;170.21;166.52
VE;12.2;0.74;-59.81;-73.37
VN;23.39;8.42;109.47;102.15
VG;18.532;18.31;-64.319;-64.75
EH;27.7;21.29;-8.66;-17.1
YE;19;12.11;54.54;41.82
ZM;-8.22;-18.08;33.7;22
ZW;-15.61;-22.42;33.05;25.24
